id,ts,kind,value,ok
1,2024-01-15 09:00:37,view,79.19,1
2,2024-01-15 09:01:14,purchase,158.38,0
3,2024-01-15 09:01:51,signup,237.57,1
4,2024-01-15 09:02:28,click,316.76,0
5,2024-01-15 09:03:05,view,395.95,1
6,2024-01-15 09:03:42,purchase,475.14,0
7,2024-01-15 09:04:19,signup,554.33,1
8,2024-01-15 09:04:56,click,633.52,0
9,2024-01-15 09:05:33,view,712.71,1
10,2024-01-15 09:06:10,purchase,791.9,0
11,2024-01-15 09:06:47,signup,871.09,1
12,2024-01-15 09:07:24,click,950.28,0
13,2024-01-15 09:08:01,view,29.47,1
14,2024-01-15 09:08:38,purchase,108.66,0
15,2024-01-15 09:09:15,signup,187.85,1
16,2024-01-15 09:09:52,click,267.04,0
17,2024-01-15 09:10:29,view,346.23,1
18,2024-01-15 09:11:06,purchase,425.42,0
19,2024-01-15 09:11:43,signup,504.61,1
20,2024-01-15 09:12:20,click,583.8,0
21,2024-01-15 09:12:57,view,662.99,1
22,2024-01-15 09:13:34,purchase,742.18,0
23,2024-01-15 09:14:11,signup,821.37,1
24,2024-01-15 09:14:48,click,900.56,0
25,2024-01-15 09:15:25,view,979.75,1
26,2024-01-15 09:16:02,purchase,58.94,0
27,2024-01-15 09:16:39,signup,138.13,1
28,2024-01-15 09:17:16,click,217.32,0
29,2024-01-15 09:17:53,view,296.51,1
30,2024-01-15 09:18:30,purchase,375.7,0
31,2024-01-15 09:19:07,signup,454.89,1
32,2024-01-15 09:19:44,click,534.08,0
33,2024-01-15 09:20:21,view,613.27,1
34,2024-01-15 09:20:58,purchase,692.46,0
35,2024-01-15 09:21:35,signup,771.65,1
36,2024-01-15 09:22:12,click,850.84,0
37,2024-01-15 09:22:49,view,930.03,1
38,2024-01-15 09:23:26,purchase,9.22,0
39,2024-01-15 09:24:03,signup,88.41,1
40,2024-01-15 09:24:40,click,167.6,0
41,2024-01-15 09:25:17,view,246.79,1
42,2024-01-15 09:25:54,purchase,325.98,0
43,2024-01-15 09:26:31,signup,405.17,1
44,2024-01-15 09:27:08,click,484.36,0
45,2024-01-15 09:27:45,view,563.55,1
46,2024-01-15 09:28:22,purchase,642.74,0
47,2024-01-15 09:28:59,signup,721.93,1
48,2024-01-15 09:29:36,click,801.12,0
49,2024-01-15 09:30:13,view,880.31,1
50,2024-01-15 09:30:50,purchase,959.5,0
51,2024-01-15 09:31:27,signup,38.69,1
52,2024-01-15 09:32:04,click,117.88,0
53,2024-01-15 09:32:41,view,197.07,1
54,2024-01-15 09:33:18,purchase,276.26,0
55,2024-01-15 09:33:55,signup,355.45,1
56,2024-01-15 09:34:32,click,434.64,0
57,2024-01-15 09:35:09,view,513.83,1
58,2024-01-15 09:35:46,purchase,593.02,0
59,2024-01-15 09:36:23,signup,672.21,1
60,2024-01-15 09:37:00,click,751.4,0
61,2024-01-15 09:37:37,view,830.59,1
62,2024-01-15 09:38:14,purchase,909.78,0
63,2024-01-15 09:38:51,signup,988.97,1
64,2024-01-15 09:39:28,click,68.16,0
65,2024-01-15 09:40:05,view,147.35,1
66,2024-01-15 09:40:42,purchase,226.54,0
67,2024-01-15 09:41:19,signup,305.73,1
68,2024-01-15 09:41:56,click,384.92,0
69,2024-01-15 09:42:33,view,464.11,1
70,2024-01-15 09:43:10,purchase,543.3,0
71,2024-01-15 09:43:47,signup,622.49,1
72,2024-01-15 09:44:24,click,701.68,0
73,2024-01-15 09:45:01,view,780.87,1
74,2024-01-15 09:45:38,purchase,860.06,0
75,2024-01-15 09:46:15,signup,939.25,1
76,2024-01-15 09:46:52,click,18.44,0
77,2024-01-15 09:47:29,view,97.63,1
78,2024-01-15 09:48:06,purchase,176.82,0
79,2024-01-15 09:48:43,signup,256.01,1
80,2024-01-15 09:49:20,click,335.2,0
81,2024-01-15 09:49:57,view,414.39,1
82,2024-01-15 09:50:34,purchase,493.58,0
83,2024-01-15 09:51:11,signup,572.77,1
84,2024-01-15 09:51:48,click,651.96,0
85,2024-01-15 09:52:25,view,731.15,1
86,2024-01-15 09:53:02,purchase,810.34,0
87,2024-01-15 09:53:39,signup,889.53,1
88,2024-01-15 09:54:16,click,968.72,0
89,2024-01-15 09:54:53,view,47.91,1
90,2024-01-15 09:55:30,purchase,127.1,0
91,2024-01-15 09:56:07,signup,206.29,1
92,2024-01-15 09:56:44,click,285.48,0
93,2024-01-15 09:57:21,view,364.67,1
94,2024-01-15 09:57:58,purchase,443.86,0
95,2024-01-15 09:58:35,signup,523.05,1
96,2024-01-15 09:59:12,click,602.24,0
97,2024-01-15 09:59:49,view,681.43,1
98,2024-01-15 10:00:26,purchase,760.62,0
99,2024-01-15 10:01:03,signup,839.81,1
100,2024-01-15 10:01:40,click,919,0
101,2024-01-15 10:02:17,view,998.19,1
102,2024-01-15 10:02:54,purchase,77.38,0
103,2024-01-15 10:03:31,signup,156.57,1
104,2024-01-15 10:04:08,click,235.76,0
105,2024-01-15 10:04:45,view,314.95,1
106,2024-01-15 10:05:22,purchase,394.14,0
107,2024-01-15 10:05:59,signup,473.33,1
108,2024-01-15 10:06:36,click,552.52,0
109,2024-01-15 10:07:13,view,631.71,1
110,2024-01-15 10:07:50,purchase,710.9,0
111,2024-01-15 10:08:27,signup,790.09,1
112,2024-01-15 10:09:04,click,869.28,0
113,2024-01-15 10:09:41,view,948.47,1
114,2024-01-15 10:10:18,purchase,27.66,0
115,2024-01-15 10:10:55,signup,106.85,1
116,2024-01-15 10:11:32,click,186.04,0
117,2024-01-15 10:12:09,view,265.23,1
118,2024-01-15 10:12:46,purchase,344.42,0
119,2024-01-15 10:13:23,signup,423.61,1
120,2024-01-15 10:14:00,click,502.8,0
121,2024-01-15 10:14:37,view,581.99,1
